,Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement
1122,Keith picked number0 pears and Jason picked number1 pears from the pear tree . Joan picked number2 apples from the apple tree . How many pears were picked in total ?,3.0 2.0 5.0,+ number0 number1,5.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 27, 28, 29]",Keith picked number0 pears and Jason picked number1 pears from the pear tree . Joan picked number2 apples from the apple tree .,How many pears were picked in total ?
1123,"Maria was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies , how many baggies could she make ?",5.0 33.0 2.0,/ + number1 number2 number0,7.0,"[6, 7, 8, 15, 16, 17, 20, 21, 22, 28, 29, 30]","Maria was making baggies of cookies with number0 cookies in each bag . If she had number1 chocolate chip cookies and number2 oatmeal cookies ,",how many baggies could she make ?
1124,"I have number0 pencils . If I put number1 pencils in each pencil box , how many pencil boxes will I fill ?",648.0 4.0,/ number0 number1,162.0,"[1, 2, 3, 7, 8, 9, 19, 20, 21]","I have number0 pencils . If I put number1 pencils in each pencil box ,",how many pencil boxes will I fill ?
1125,Joan has number0 orange balloons but lost number1 of them . How many orange balloons does Joan have now ?,8.0 2.0,- number0 number1,6.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Joan has number0 orange balloons but lost number1 of them .,How many orange balloons does Joan have now ?
1126,Ralph collects number0 cards . Ralph 's father gives Ralph number1 more . How many cards does Ralph have ?,4.0 8.0,+ number0 number1,12.0,"[1, 2, 3, 9, 10, 11, 16, 17, 18]",Ralph collects number0 cards . Ralph 's father gives Ralph number1 more .,How many cards does Ralph have ?
1127,Professor Ellison weighed number0 pieces of metal for an experiment . The piece of iron weighed number1 pounds and the piece of aluminum weighed number2 pound . How much more did the piece of iron weigh than the piece of aluminum ?,2.0 11.166666666666666 0.8333333333333334,- number1 number2,10.333333333333334,"[2, 3, 4, 15, 16, 17, 23, 24, 25, 38, 39, 40]",Professor Ellison weighed number0 pieces of metal for an experiment . The piece of iron weighed number1 pounds and the piece of aluminum weighed number2 pound .,How much more did the piece of iron weigh than the piece of aluminum ?
1128,Sandy 's dog had number0 puppies and number1 had spots . She gave number2 to her friends . How many puppies does she now have ?,8.0 4.0 4.0,- number0 number1,4.0,"[3, 4, 5, 6, 7, 8, 12, 13, 14, 22, 23, 24]",Sandy 's dog had number0 puppies and number1 had spots . She gave number2 to her friends .,How many puppies does she now have ?
1129,There are number0 scissors and number1 pencils in the drawer . Jason placed number2 scissors in the drawer . How many scissors are now there in total ?,5.0 3.0 4.0,+ number0 number2,9.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",There are number0 scissors and number1 pencils in the drawer . Jason placed number2 scissors in the drawer .,How many scissors are now there in total ?
1130,There are number0 books in a library . They are arranged on shelves that hold number1 books each . How many shelves are in the library ?,14240.0 8.0,/ number0 number1,1780.0,"[1, 2, 3, 14, 15, 16, 23, 24, 25]",There are number0 books in a library . They are arranged on shelves that hold number1 books each .,How many shelves are in the library ?
1131,"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it , how many birds does the pet store have total ?",9.0 2.0 2.0,* number0 + number1 number1,36.0,"[3, 4, 5, 11, 12, 13, 14, 15, 16, 26, 27, 28]","A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it ,",how many birds does the pet store have total ?
1132,"Dan has number0 violet marbles , he gave Mary number1 of the marbles . How many violet marbles does he now have ?",64.0 14.0,- number0 number1,50.0,"[1, 2, 3, 8, 9, 10, 19, 20, 21]","Dan has number0 violet marbles , he gave Mary number1 of the marbles .",How many violet marbles does he now have ?
1133,"Bonnie has number0 tickets . If she shares them among number1 friends , how many tickets does each friend get ?",10.0 2.0,/ number0 number1,5.0,"[1, 2, 3, 9, 10, 11, 17, 18, 19]","Bonnie has number0 tickets . If she shares them among number1 friends ,",how many tickets does each friend get ?
1134,Willie starts with number0 stickers . He gives number1 to Emily . How many stickers does Willie end with ?,36.0 7.0,- number0 number1,29.0,"[2, 3, 4, 7, 8, 9, 16, 17, 18]",Willie starts with number0 stickers . He gives number1 to Emily .,How many stickers does Willie end with ?
1135,It took Carl number0 hours to ride to Ralph 's house at number1 miles per hour . How far is it between Carl 's house and Ralph 's house ?,5.0 2.0,* number0 number1,10.0,"[2, 3, 4, 11, 12, 13, 26, 27, 28]",It took Carl number0 hours to ride to Ralph 's house at number1 miles per hour .,How far is it between Carl 's house and Ralph 's house ?
1136,"For dessert , Jane ’ s mom prepared number0 pieces of bite - size cinnamon swirls . If the number1 of them ate an equal number of pieces of cinnamon swirls , how many pieces did Jane eat ?",12.0 3.0,/ number0 number1,4.0,"[6, 7, 8, 17, 18, 19, 34, 35, 36]","For dessert , Jane ’ s mom prepared number0 pieces of bite - size cinnamon swirls . If the number1 of them ate an equal number of pieces of cinnamon swirls ,",how many pieces did Jane eat ?
1137,Tessa has number0 apples . Anita gave her number1 more . She needs number2 apples to make a pie . Does she have enough to make a pie ?,4.0 5.0 10.0,+ number0 number1,9.0,"[1, 2, 3, 7, 8, 9, 12, 13, 14, 25, 26, 27]",Tessa has number0 apples . Anita gave her number1 more . She needs number2 apples to make a pie .,Does she have enough to make a pie ?
1138,"Megan baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them how many packages could she make if she put number2 cupcake in each package ?",71.0 43.0 7.0,/ - number0 number1 number2,4.0,"[1, 2, 3, 17, 18, 19, 29, 30, 31, 32, 33, 34]","Megan baked number0 cupcakes for her school 's bake sale . If her brother , Todd , ate number1 of them",how many packages could she make if she put number2 cupcake in each package ?
1139,Emily sprinted to Timothy 's house . It is number0 miles from Emily 's house to Timothy 's house . It took Emily number1 hours to get there . How fast did Emily go ?,10.0 2.0,/ number0 number1,5.0,"[8, 9, 10, 22, 23, 24, 31, 32, 33]",Emily sprinted to Timothy 's house . It is number0 miles from Emily 's house to Timothy 's house . It took Emily number1 hours to get there .,How fast did Emily go ?
1140,George has number0 boxes of blocks . Each box holds number1 blocks and there are number2 boxes in a case . How many blocks does George have ?,2.0 6.0 5.0,* number0 number1,12.0,"[1, 2, 3, 9, 10, 11, 14, 15, 16, 24, 25, 26]",George has number0 boxes of blocks . Each box holds number1 blocks and there are number2 boxes in a case .,How many blocks does George have ?
1141,Donna weighs number0 pounds . Willie weighs number1 pounds . How much heavier is Donna than Willie ?,69.0 51.0,- number0 number1,18.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Donna weighs number0 pounds . Willie weighs number1 pounds .,How much heavier is Donna than Willie ?
1142,A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin how many would be in the bin ?,40.0 25.0 21.0,- + number0 number2 number1,36.0,"[2, 3, 4, 12, 13, 14, 19, 20, 21, 30, 31, 32]",A store had number0 oranges in a bin . If they threw away number1 of the old ones and put number2 new ones in the bin,how many would be in the bin ?
1143,"Each day , the polar bear at Richmond 's zoo eats number0 bucket of trout and number1 bucket of salmon . How many buckets of fish does the polar bear eat daily ?",0.2 0.4,+ number0 number1,0.6,"[10, 11, 12, 15, 16, 17, 29, 30, 31]","Each day , the polar bear at Richmond 's zoo eats number0 bucket of trout and number1 bucket of salmon .",How many buckets of fish does the polar bear eat daily ?
1144,"Oliver made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades , how many number2 dollar games could he buy with the money he had left ?",35.0 7.0 4.0,/ - number0 number1 number2,7.0,"[1, 2, 3, 12, 13, 14, 21, 22, 23, 31, 32, 33]","Oliver made number0 dollars mowing lawns over the summer . If he spent number1 dollars buying new mower blades ,",how many number2 dollar games could he buy with the money he had left ?
1145,There are number0 baskets . There are number1 apples in each basket . How many apples are there in all ?,37.0 17.0,* number0 number1,629.0,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",There are number0 baskets . There are number1 apples in each basket .,How many apples are there in all ?
1146,Randy has number0 blocks . He uses number1 blocks to build a tower . How many blocks are left ?,78.0 19.0,- number0 number1,59.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Randy has number0 blocks . He uses number1 blocks to build a tower .,How many blocks are left ?
1147,"Ned bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it , how many pieces did Ned still have ?",14.0 7.0 6.0,* number2 - number0 number1,42.0,"[1, 2, 3, 8, 9, 10, 18, 19, 20, 28, 29, 30]","Ned bought number0 boxes of chocolate candy and gave number1 to his little brother . If each box has number2 pieces inside it ,",how many pieces did Ned still have ?
1148,"Amy had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files , how many files were still on her flash drive ?",26.0 36.0 48.0,- + number0 number1 number2,14.0,"[1, 2, 3, 5, 6, 7, 16, 17, 18, 28, 29, 30]","Amy had number0 music files and number1 video files on her flash drive . If she deleted number2 of the files ,",how many files were still on her flash drive ?
1149,"If number0 of a pound is worth number1 dollars , how much is number2 pounds worth ?",0.6667 8.0 0.75,* / number1 number0 number2,9.0,"[0, 1, 2, 6, 7, 8, 12, 13, 14, 13, 14, 15]","If number0 of a pound is worth number1 dollars ,",how much is number2 pounds worth ?
1150,There were number0 bales of hay in the barn . Tim stacked bales in the barn today . There are now number1 bales of hay in the barn . How many bales did he store in the barn ?,28.0 54.0,- number1 number0,26.0,"[1, 2, 3, 20, 21, 22, 35, 36, 37]",There were number0 bales of hay in the barn . Tim stacked bales in the barn today . There are now number1 bales of hay in the barn .,How many bales did he store in the barn ?
1151,Mary picked number0 oranges and Jason picked number1 oranges from the orange tree . How many oranges were picked in total ?,122.0 105.0,+ number0 number1,227.0,"[1, 2, 3, 6, 7, 8, 18, 19, 20]",Mary picked number0 oranges and Jason picked number1 oranges from the orange tree .,How many oranges were picked in total ?
1152,"Kimberly has number0 Skittles . She buys number1 more . Later , Kimberly buys number2 oranges at the store . How many Skittles does Kimberly have in all ?",5.0 7.0 18.0,+ number0 number1,12.0,"[1, 2, 3, 6, 7, 8, 13, 14, 15, 25, 26, 27]","Kimberly has number0 Skittles . She buys number1 more . Later , Kimberly buys number2 oranges at the store .",How many Skittles does Kimberly have in all ?
1153,"Gwen earned number0 points for each bag of cans she recycled . If she had number1 bags , but did n't recycle number2 of them , how many points would she have earned ?",8.0 4.0 2.0,* number0 - number1 number2,16.0,"[1, 2, 3, 14, 15, 16, 21, 22, 23, 30, 31, 32]","Gwen earned number0 points for each bag of cans she recycled . If she had number1 bags , but did n't recycle number2 of them ,",how many points would she have earned ?
1154,"The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples , how many pies could they make ?",62.0 8.0 9.0,/ - number0 number1 number2,6.0,"[2, 3, 4, 10, 11, 12, 27, 28, 29, 34, 35, 36]","The cafeteria had number0 apples . For lunch they handed out number1 to students and decided to use the rest to make pies . If each pie takes number2 apples ,",how many pies could they make ?
1155,"Some insects called aphids attack a large farm . In response , the farmer releases ladybugs onto the fields . There are number0 ladybugs with spots and number1 ladybugs without spots . How many ladybugs are there in all ?",12170.0 54912.0,+ number0 number1,67082.0,"[21, 22, 23, 26, 27, 28, 36, 37, 38]","Some insects called aphids attack a large farm . In response , the farmer releases ladybugs onto the fields . There are number0 ladybugs with spots and number1 ladybugs without spots .",How many ladybugs are there in all ?
1156,"While shopping , Maria bought number0 green towels and number1 white towels . If she gave her mother number2 of them , how many towels did Maria end up with ?",35.0 21.0 34.0,- + number0 number1 number2,22.0,"[4, 5, 6, 8, 9, 10, 17, 18, 19, 27, 28, 29]","While shopping , Maria bought number0 green towels and number1 white towels . If she gave her mother number2 of them ,",how many towels did Maria end up with ?
1157,"Joan spent $ number0 on shorts and $ number1 on a jacket , and $ number2 on a shirt . She went to number3 shops . In total , how much money did Joan spend on clothing ?",15.0 14.82 12.51 3.0,+ + number0 number1 number2,42.33,"[2, 3, 4, 7, 8, 9, 14, 15, 16, 22, 23, 24, 34, 35, 36]","Joan spent $ number0 on shorts and $ number1 on a jacket , and $ number2 on a shirt . She went to number3 shops . In total ,",how much money did Joan spend on clothing ?
1158,"Mike went to number0 basketball games this year , but missed number1 . He went to number2 games last year . How many basketball games did Mike go to in total ?",15.0 41.0 39.0,+ number0 number2,54.0,"[2, 3, 4, 10, 11, 12, 15, 16, 17, 28, 29, 30]","Mike went to number0 basketball games this year , but missed number1 . He went to number2 games last year .",How many basketball games did Mike go to in total ?
1159,Maria has number0 boxes of eggs . Each box holds number1 eggs and there are number2 boxes in a case . How many eggs does Maria have ?,3.0 7.0 8.0,* number0 number1,21.0,"[1, 2, 3, 9, 10, 11, 14, 15, 16, 24, 25, 26]",Maria has number0 boxes of eggs . Each box holds number1 eggs and there are number2 boxes in a case .,How many eggs does Maria have ?
1160,Mildred weighs number0 pounds . Carol weighs number1 pounds . How much heavier is Mildred than Carol ?,59.0 9.0,- number0 number1,50.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Mildred weighs number0 pounds . Carol weighs number1 pounds .,How much heavier is Mildred than Carol ?
1161,"Michelle has number0 crayons . Janet has number1 crayons . If Janet gives all of her crayons to Michelle , how many crayons will Michelle have ?",2.0 2.0,+ number0 number0,4.0,"[1, 2, 3, 6, 7, 8, 23, 24, 25]","Michelle has number0 crayons . Janet has number1 crayons . If Janet gives all of her crayons to Michelle ,",how many crayons will Michelle have ?
1162,Sara got fast food for lunch . Sara spent $ number0 on a hotdog and $ number1 on a salad . What was the total of the lunch bill ?,5.36 5.1,+ number0 number1,10.46,"[9, 10, 11, 15, 16, 17, 26, 27, 28]",Sara got fast food for lunch . Sara spent $ number0 on a hotdog and $ number1 on a salad .,What was the total of the lunch bill ?
1163,There are number0 rulers and number1 crayons in the drawer . Tim placed number2 rulers in the drawer . How many rulers are now there in all ?,11.0 34.0 14.0,+ number0 number2,25.0,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",There are number0 rulers and number1 crayons in the drawer . Tim placed number2 rulers in the drawer .,How many rulers are now there in all ?
1164,"Frank had saved up number0 dollars . If he received another number1 dollars for his allowance , how many number2 dollar toys could he buy ?",3.0 37.0 8.0,/ + number0 number1 number2,5.0,"[3, 4, 5, 10, 11, 12, 18, 19, 20, 22, 23, 24]","Frank had saved up number0 dollars . If he received another number1 dollars for his allowance ,",how many number2 dollar toys could he buy ?
1165,"At a sale , the cost of a pair of shoes was reduced from number0 dollars to number1 dollars . What was the percent of discount ?",42.0 33.6,* / - number0 number1 number0 100.0,20.0,"[13, 14, 15, 16, 17, 18, 23, 24, 25]","At a sale , the cost of a pair of shoes was reduced from number0 dollars to number1 dollars .",What was the percent of discount ?
1166,There are number0 fishbowls . Each fishbowl has number1 fish . How many fish are there ?,261.0 23.0,* number0 number1,6003.0,"[1, 2, 3, 7, 8, 9, 13, 14, 15]",There are number0 fishbowls . Each fishbowl has number1 fish .,How many fish are there ?
1167,"Mary loves eating fruits . Mary paid $ number0 for berries , $ number1 for apples , and $ number2 for peaches . In total , how much money did she spend ?",11.08 14.33 9.31,+ + number0 number1 number2,34.72,"[7, 8, 9, 12, 13, 14, 18, 19, 20, 29, 30, 31]","Mary loves eating fruits . Mary paid $ number0 for berries , $ number1 for apples , and $ number2 for peaches . In total ,",how much money did she spend ?
1168,"Bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . If the stones were sold at number1 dollar each , how much money did Bryan get in total ?",8.0 1785.0,* number0 number1,14280.0,"[1, 2, 3, 24, 25, 26, 34, 35, 36]","Bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . If the stones were sold at number1 dollar each ,",how much money did Bryan get in total ?
1169,A bee has number0 legs . How many legs do number1 bees have ?,6.0 8.0,* number0 number1,48.0,"[2, 3, 4, 9, 10, 11, 10, 11, 12]",A bee has number0 legs .,How many legs do number1 bees have ?
1170,Patrick jogged to Aaron 's house . It is number0 miles from Patrick 's house to Aaron 's house . It took Patrick number1 hours to get there . How fast did Patrick go ?,14.0 2.0,/ number0 number1,7.0,"[8, 9, 10, 22, 23, 24, 31, 32, 33]",Patrick jogged to Aaron 's house . It is number0 miles from Patrick 's house to Aaron 's house . It took Patrick number1 hours to get there .,How fast did Patrick go ?
1171,Michael has some fish in his fish tank . Ben gave him number0 more fish . Now he has number1 . How many fish did he have to begin with ?,18.0 49.0,- number1 number0,31.0,"[11, 12, 13, 18, 19, 20, 27, 28, 29]",Michael has some fish in his fish tank . Ben gave him number0 more fish . Now he has number1 .,How many fish did he have to begin with ?
1172,There were number0 kids on the soccer field . number1 kids decided to join in . Now how many kids are on the soccer field ?,14.0 22.0,+ number0 number1,36.0,"[1, 2, 3, 8, 9, 10, 22, 23, 24]",There were number0 kids on the soccer field . number1 kids decided to join in . Now,how many kids are on the soccer field ?
1173,"Fred has number0 green balloons , he gave Sandy number1 of the balloons . How many green balloons does he now have ?",709.0 221.0,- number0 number1,488.0,"[1, 2, 3, 8, 9, 10, 19, 20, 21]","Fred has number0 green balloons , he gave Sandy number1 of the balloons .",How many green balloons does he now have ?
1174,The Sumata family took a number0 day vacation by car . Each day they drove number1 miles . How many total miles did they drive ?,5.0 250.0,* number0 number1,1250.0,"[4, 5, 6, 14, 15, 16, 22, 23, 24]",The Sumata family took a number0 day vacation by car . Each day they drove number1 miles .,How many total miles did they drive ?
1175,"Maria bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together , how many minutes did it take her to finish ?",2.0 2.0 8.0,* number2 + number0 number0,32.0,"[1, 2, 3, 5, 6, 7, 15, 16, 17, 32, 33, 34]","Maria bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together ,",how many minutes did it take her to finish ?
1176,Kim has number0 cousins . She wants to give each cousin number1 pieces of gum . How much gum will she need ?,4.0 5.0,* number0 number1,20.0,"[1, 2, 3, 10, 11, 12, 19, 20, 21]",Kim has number0 cousins . She wants to give each cousin number1 pieces of gum .,How much gum will she need ?
1177,"Edward had number0 books . If he sold number1 of them and used the money he earned to buy number2 new books , how many books would Edward have ?",43.0 19.0 14.0,- + number0 number2 number1,38.0,"[1, 2, 3, 7, 8, 9, 18, 19, 20, 26, 27, 28]","Edward had number0 books . If he sold number1 of them and used the money he earned to buy number2 new books ,",how many books would Edward have ?
1178,Melissa has number0 bananas . She shares number1 with Joshua . How many bananas will Melissa have ?,88.0 4.0,- number0 number1,84.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Melissa has number0 bananas . She shares number1 with Joshua .,How many bananas will Melissa have ?
1179,"A book store had number0 books in the bargin bin . If they sold number1 books , but then put number2 more in the bin , how many books would be in the bin ?",4.0 3.0 10.0,- + number0 number2 number1,11.0,"[3, 4, 5, 13, 14, 15, 19, 20, 21, 31, 32, 33]","A book store had number0 books in the bargin bin . If they sold number1 books , but then put number2 more in the bin ,",how many books would be in the bin ?
1180,"Isabella ’ s hair is number0 cubes long . If her hair grows number1 more inches , how long will it be ?",18.0 4.0,+ number0 number1,22.0,"[3, 4, 5, 11, 12, 13, 18, 19, 20]","Isabella ’ s hair is number0 cubes long . If her hair grows number1 more inches ,",how long will it be ?
1181,"Oliver had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones , how many socks would he have ?",11.0 4.0 26.0,- + number0 number2 number1,33.0,"[1, 2, 3, 8, 9, 10, 17, 18, 19, 25, 26, 27]","Oliver had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones ,",how many socks would he have ?
1182,"Keith grew number0 cantelopes , Fred grew number1 cantelopes , and Jason grew number2 cantelopes . How many cantelopes did they grow in total ?",29.0 16.0 20.0,+ + number0 number1 number2,65.0,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 21, 22, 23]","Keith grew number0 cantelopes , Fred grew number1 cantelopes , and Jason grew number2 cantelopes .",How many cantelopes did they grow in total ?
1183,"Mike is at the library helping put away books . There are number0 book to put away total but a librarian takes number1 of them and leaves Mike with the rest . If he can fit number2 books on a shelf , how many shelves will he need ?",82.0 10.0 9.0,/ - number0 number1 number2,8.0,"[11, 12, 13, 21, 22, 23, 35, 36, 37, 45, 46, 47]","Mike is at the library helping put away books . There are number0 book to put away total but a librarian takes number1 of them and leaves Mike with the rest . If he can fit number2 books on a shelf ,",how many shelves will he need ?
1184,"Joan picked number0 apples from the orchard , and gave number1 apples to Melanie . How many apples does Joan have now ?",43.0 27.0,- number0 number1,16.0,"[1, 2, 3, 9, 10, 11, 19, 20, 21]","Joan picked number0 apples from the orchard , and gave number1 apples to Melanie .",How many apples does Joan have now ?
1185,"Jason picked number0 pears , Keith picked number1 pears , and Mike picked number2 pears from the pear tree . How many pears were picked in total ?",46.0 47.0 12.0,+ + number0 number1 number2,105.0,"[1, 2, 3, 6, 7, 8, 14, 15, 16, 26, 27, 28]","Jason picked number0 pears , Keith picked number1 pears , and Mike picked number2 pears from the pear tree .",How many pears were picked in total ?
1186,Tim had number0 quarters and number1 nickels in his bank . His dad gave him number2 nickels and number3 pennies . How many nickels does Tim have now ?,7.0 9.0 3.0 5.0,+ number1 number2,12.0,"[1, 2, 3, 4, 4, 5, 6, 7]",Tim had number0 quarters and number1 nickels in his bank . His dad gave him number2 nickels and number3 pennies .,How many nickels does Tim have now ?
1187,"A teacher has number0 pieces of candy . If there are number1 students , and the candy is divided evenly , How many pieces will each student get ?",344.0 43.0,/ number0 number1,8.0,"[2, 3, 4, 10, 11, 12, 25, 26, 27]","A teacher has number0 pieces of candy . If there are number1 students , and the candy is divided evenly ,",How many pieces will each student get ?
1188,"A waiter at ' The Greasy Spoon ' restaurant had number0 customers to wait on . During the lunch rush he added another number1 customers . If number2 of the customers did n't leave him a tip , how many customers did leave a tip ?",26.0 27.0 27.0,- + number0 number1 number1,26.0,"[9, 10, 11, 22, 23, 24, 26, 27, 28, 42, 43, 44]","A waiter at ' The Greasy Spoon ' restaurant had number0 customers to wait on . During the lunch rush he added another number1 customers . If number2 of the customers did n't leave him a tip ,",how many customers did leave a tip ?
1189,Ralph starts with number0 peanuts . He loses number1 . How many peanuts does Ralph end with ?,74.0 59.0,- number0 number1,15.0,"[2, 3, 4, 7, 8, 9, 14, 15, 16]",Ralph starts with number0 peanuts . He loses number1 .,How many peanuts does Ralph end with ?
1190,"At the town carnival Oliver rode the ferris wheel number0 times and the bumper cars number1 times . If each ride cost number2 tickets , how many tickets did he use ?",7.0 3.0 3.0,* number1 + number0 number1,30.0,"[8, 9, 10, 14, 15, 16, 21, 22, 23, 28, 29, 30]","At the town carnival Oliver rode the ferris wheel number0 times and the bumper cars number1 times . If each ride cost number2 tickets ,",how many tickets did he use ?
1191,"At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip , how much money did he earn ?",7.0 5.0 3.0,* number2 - number0 number1,6.0,"[4, 5, 6, 7, 8, 9, 20, 21, 22, 33, 34, 35]","At lunch a waiter had number0 customers and number1 of them did n't leave a tip . If he got $ number2 each from the ones who did tip ,",how much money did he earn ?
1192,"Isabel picked number0 flowers for her friend ’ s wedding . She was making bouquets with number1 flowers in each one . If number2 of the flowers wilted before the wedding , how many bouquets could she still make ?",66.0 8.0 10.0,/ - number0 number2 number1,7.0,"[1, 2, 3, 14, 15, 16, 21, 22, 23, 35, 36, 37]","Isabel picked number0 flowers for her friend ’ s wedding . She was making bouquets with number1 flowers in each one . If number2 of the flowers wilted before the wedding ,",how many bouquets could she still make ?
1193,Sara got fast food for lunch . Sara spent $ number0 on a hotdog and $ number1 on a salad . What was the total of the lunch bill ?,5.36 5.1,+ number0 number1,10.46,"[9, 10, 11, 15, 16, 17, 26, 27, 28]",Sara got fast food for lunch . Sara spent $ number0 on a hotdog and $ number1 on a salad .,What was the total of the lunch bill ?
1194,"Sandy worked number0 hours in the last number1 days . Assuming that she worked the same amount of hours each day , how long did she work each day ?",45.0 5.0,/ number0 number1,9.0,"[1, 2, 3, 6, 7, 8, 26, 27, 28]","Sandy worked number0 hours in the last number1 days . Assuming that she worked the same amount of hours each day ,",how long did she work each day ?
1195,Ceasar needs to read a number0 page book for school . He has already read number1 pages . How many pages does he have left to read ?,563.0 147.0,- number0 number1,416.0,"[4, 5, 6, 14, 15, 16, 24, 25, 26]",Ceasar needs to read a number0 page book for school . He has already read number1 pages .,How many pages does he have left to read ?
1196,Jenny ran number0 mile and walked number1 mile . How much farther did Jenny run than walk ?,0.6 0.4,- number0 number1,0.2,"[1, 2, 3, 5, 6, 7, 14, 15, 16]",Jenny ran number0 mile and walked number1 mile .,How much farther did Jenny run than walk ?
1197,A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats . How many cats do they have left ?,15.0 49.0 19.0,- + number0 number1 number2,45.0,"[3, 4, 5, 7, 8, 9, 16, 17, 18, 24, 25, 26]",A pet store had number0 siamese cats and number1 house cats . During a sale they sold number2 cats .,How many cats do they have left ?
1198,"Nancy had number0 homework problems . She finished number1 of them but still had number2 pages of problems to do . If each page has the same number of problems on it , how many problems are on each page ?",101.0 47.0 6.0,/ - number0 number1 number2,9.0,"[1, 2, 3, 7, 8, 9, 13, 14, 15, 37, 38, 39]","Nancy had number0 homework problems . She finished number1 of them but still had number2 pages of problems to do . If each page has the same number of problems on it ,",how many problems are on each page ?
1199,Sara has number0 dozen golf balls . How many golf balls does she have ?,9.0,* number0 12.0,108.0,"[1, 2, 3, 11, 12, 13]",Sara has number0 dozen golf balls .,How many golf balls does she have ?
1200,"A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it , how many birds does the pet store have total ?",8.0 2.0 7.0,* number0 + number1 number2,72.0,"[3, 4, 5, 11, 12, 13, 14, 15, 16, 26, 27, 28]","A pet store has number0 bird cages . If each cage has number1 parrots and number2 parakeets in it ,",how many birds does the pet store have total ?
1201,"I walked number0 miles in number1 hour for Relay for Life . If I maintained this pace for the number2 hours I walk , how many miles total will I walk ?",2.0 1.0 8.0,* number0 number2,16.0,"[1, 2, 3, 4, 5, 6, 18, 19, 20, 28, 29, 30]","I walked number0 miles in number1 hour for Relay for Life . If I maintained this pace for the number2 hours I walk ,",how many miles total will I walk ?
1202,Mary had number0 dimes and number1 pennies in her bank . Her dad borrowed number2 pennies from Mary . How many pennies does she have now ?,21.0 38.0 18.0,- number1 number2,20.0,"[1, 2, 3, 4, 5, 6, 13, 14, 15, 23, 24, 25]",Mary had number0 dimes and number1 pennies in her bank . Her dad borrowed number2 pennies from Mary .,How many pennies does she have now ?
1203,A toy store had number0 giant stuffed bears in stock when they got another shipment with number1 bears in it . The put the bears onto shelves with number2 on each shelf . How many shelves did they use ?,4.0 10.0 7.0,/ + number0 number1 number2,2.0,"[3, 4, 5, 15, 16, 17, 27, 28, 29, 36, 37, 38]",A toy store had number0 giant stuffed bears in stock when they got another shipment with number1 bears in it . The put the bears onto shelves with number2 on each shelf .,How many shelves did they use ?
1204,"Robin uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album , how many pictures were in each of the albums ?",31.0 5.0 9.0,/ + number0 number1 number2,4.0,"[1, 2, 3, 7, 8, 9, 20, 21, 22, 40, 41, 42]","Robin uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album ,",how many pictures were in each of the albums ?
1205,A tailor cut number0 inch off a skirt and number1 inch off a pair of pants . How much more did the tailor cut off the skirt than the pants ?,0.75 0.5,- number0 number1,0.25,"[2, 3, 4, 8, 9, 10, 27, 28, 29]",A tailor cut number0 inch off a skirt and number1 inch off a pair of pants .,How much more did the tailor cut off the skirt than the pants ?
1206,"There are number0 bananas in Diane 's banana collection . If the bananas are organized into number1 groups , how big is each group ?",36.0 6.0,/ number0 number1,6.0,"[1, 2, 3, 15, 16, 17, 21, 22, 23]","There are number0 bananas in Diane 's banana collection . If the bananas are organized into number1 groups ,",how big is each group ?
