,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques
499,next on his checklist are wax to stick the feathers together . he needs number0 g of wax more . if the feathers require a total of number1 g of wax how many grams of wax does he already have ?,159 628,- number1 number0,469.0,"[1, 37, 38, 39, 13, 14, 15, 26, 27, 28]",Subtraction,32,next on his checklist are wax to stick the feathers together . he needs number0 g of wax more . if the feathers require a total of number1 g of wax,how many grams of wax does he already have ?
500,next on his checklist are wax to stick the feathers together and colors to paint them . he needs a total of number0 g of colors to paint them . if the feathers require number1 g of wax and right now he just needs number2 g how many grams of wax does he already have ?,49 288 260,- number1 number2,28.0,"[33, 34, 35, 3, 43, 44, 45, 13, 52, 21, 22, 23, 53, 54]",Subtraction,33,next on his checklist are wax to stick the feathers together and colors to paint them . he needs a total of number0 g of colors to paint them . if the feathers require number1 g of wax and right now he just needs number2 g,how many grams of wax does he already have ?
501,next on his checklist are wax to stick the feathers together and colors to paint them . he needs a total of number0 g of colors to paint them . he needs number1 g of wax more . if the feathers require a total of number2 g of wax how many grams of wax does he already have ?,57 22 353,- number2 number1,331.0,"[32, 33, 1, 44, 45, 46, 21, 22, 23, 55, 57, 56, 31]",Subtraction,"33, 32",next on his checklist are wax to stick the feathers together and colors to paint them . he needs a total of number0 g of colors to paint them . he needs number1 g of wax more . if the feathers require a total of number2 g of wax,how many grams of wax does he already have ?
502,next on his checklist are wax to stick the feathers together . if the feathers require number0 g of wax and right now he has number1 g how many more grams of wax does he need ?,166 20,- number0 number1,146.0,"[33, 34, 3, 35, 12, 15, 16, 17, 24, 25, 26]",Subtraction,23,next on his checklist are wax to stick the feathers together . if the feathers require number0 g of wax and right now he has number1 g,how many more grams of wax does he need ?
503,next on his checklist are wax to stick the feathers together . if he has number0 g of wax and right now he just needs number1 g total how many grams of wax do the feathers require ?,557 17,+ number0 number1,574.0,"[2, 34, 35, 36, 12, 14, 15, 16, 24, 25, 26]",Addition,23,next on his checklist are wax to stick the feathers together . if he has number0 g of wax and right now he just needs number1 g,total how many grams of wax do the feathers require ?
504,next on his checklist are wax to stick the feathers together . if he currently has number0 g of wax and the feathers require a total of number1 g of wax how many more grams of wax does he need ?,11 492,- number1 number0,481.0,"[3, 37, 38, 39, 15, 16, 17, 26, 27, 28]",Subtraction,"23, 32",next on his checklist are wax to stick the feathers together . if he currently has number0 g of wax and the feathers require a total of number1 g of wax,how many more grams of wax does he need ?
505,being his favorite he saved checking on the grapevines for his last stop . he was told by number0 of the pickers that they fill number1 drums of grapes in number2 days . how many drums of grapes would be filled per day ?,94 90 6,/ number1 number2,15.0,"[1, 40, 41, 10, 42, 17, 18, 19, 24, 25, 26, 29, 30, 31]",Common-Division,23,being his favorite he saved checking on the grapevines for his last stop . he was told by number0 of the pickers that they fill number1 drums of grapes in number2 days .,how many drums of grapes would be filled per day ?
506,being his favorite he saved checking on the grapevines for his last stop . he was told by number0 of the pickers that they fill number1 drums of grapes in number2 days . how many drums of grapes would be filled in each day ?,266 90 5,/ number1 number2,18.0,"[1, 41, 42, 10, 43, 17, 18, 19, 24, 25, 26, 29, 30, 31]",Common-Division,23,being his favorite he saved checking on the grapevines for his last stop . he was told by number0 of the pickers that they fill number1 drums of grapes in number2 days .,how many drums of grapes would be filled in each day ?
507,being his favorite he saved checking on the grapevines for his last stop . he was told by number0 of the pickers that they fill number1 drums of grapes per day and number2 drums of raspberries per day . how many drums of grapes would be filled in number3 days ?,294 244 47 146,* number1 number3,35624.0,"[32, 33, 1, 36, 10, 47, 48, 17, 18, 19, 49, 24, 25, 26, 29, 31]",Multiplication,33,being his favorite he saved checking on the grapevines for his last stop . he was told by number0 of the pickers that they fill number1 drums of grapes per day and number2 drums of raspberries per day .,how many drums of grapes would be filled in number3 days ?
508,being his favorite he saved checking on the grapevines for his last stop . he was told by number0 of the pickers that they fill number1 drums of raspberries per day and number2 drums of grapes per day . how many drums of grapes would be filled in number3 days ?,235 100 221 77,* number2 number3,17017.0,"[32, 33, 1, 36, 10, 47, 48, 17, 18, 19, 49, 24, 25, 26, 29, 31]",Multiplication,31,being his favorite he saved checking on the grapevines for his last stop . he was told by number0 of the pickers that they fill number1 drums of raspberries per day and number2 drums of grapes per day .,how many drums of grapes would be filled in number3 days ?
509,being his favorite he saved checking on the grapevines after number0 stops . he was told by number1 of the pickers that they fill number2 drums of grapes per day . how many drums of grapes would be filled in number3 days ?,57 252 108 58,* number2 number3,6264.0,"[1, 39, 40, 9, 10, 11, 41, 16, 17, 18, 23, 24, 25, 28]",Multiplication,33,being his favorite he saved checking on the grapevines after number0 stops . he was told by number1 of the pickers that they fill number2 drums of grapes per day .,how many drums of grapes would be filled in number3 days ?
510,being his favorite he saved checking on the grapevines for his last stop . he was told by number0 of the pickers that they fill number1 drums of grapes per day . how many days will it take to fill number2 drums of grapes ?,36 8 240,/ number2 number1,30.0,"[39, 40, 41, 10, 7, 42, 43, 17, 18, 19, 24, 25, 26, 29]",Common-Division,23,being his favorite he saved checking on the grapevines for his last stop . he was told by number0 of the pickers that they fill number1 drums of grapes per day .,how many days will it take to fill number2 drums of grapes ?
511,he also had number0 aquariums for saltwater animals . the aquarium had number1 saltwater animals in total and every aquarium had the same number of animals . how many saltwater animals does each aquarium have ?,26 52,/ number1 number0,2.0,"[32, 1, 2, 3, 4, 33, 34, 7, 11, 12, 13, 14, 18]",Common-Division,23,he also had number0 aquariums for saltwater animals . the aquarium had number1 saltwater animals in total and every aquarium had the same number of animals .,how many saltwater animals does each aquarium have ?
512,he had a total of number0 saltwater animals in different aquariums . each aquarium has number1 animals in it . how many aquariums did he have ?,40 2,/ number0 number1,20.0,"[2, 4, 5, 6, 7, 12, 14, 15, 16, 23, 24, 25]",Common-Division,23,he had a total of number0 saltwater animals in different aquariums . each aquarium has number1 animals in it .,how many aquariums did he have ?
513,he also had number0 aquariums for saltwater animals and number1 aquariums for freshwater animals . each aquarium has number2 animals in it . how many saltwater animals does tyler have ?,56 10 39,* number0 number2,2184.0,"[1, 2, 3, 4, 6, 8, 9, 10, 12, 15, 17, 18, 19, 27, 28, 29]",Multiplication,33,he also had number0 aquariums for saltwater animals and number1 aquariums for freshwater animals . each aquarium has number2 animals in it .,how many saltwater animals does tyler have ?
514,he also had number0 aquariums for freshwater animals and number1 aquariums for saltwater animals . each aquarium has number2 animals in it . how many saltwater animals does tyler have ?,74 22 46,* number1 number2,1012.0,"[1, 2, 3, 4, 6, 8, 9, 10, 15, 17, 18, 19, 27, 28, 29]",Multiplication,"33, 31",he also had number0 aquariums for freshwater animals and number1 aquariums for saltwater animals . each aquarium has number2 animals in it .,how many saltwater animals does tyler have ?
515,he had number0 aquariums for saltwater animals and number1 aquariums for freshwater animals . each aquarium has number2 animals in it . how many animals does he have in total ?,15 62 19,* + number0 number1 number2,1463.0,"[1, 2, 3, 5, 7, 8, 9, 11, 14, 16, 17, 18, 27, 28, 29]",Multiplication,21,he had number0 aquariums for saltwater animals and number1 aquariums for freshwater animals . each aquarium has number2 animals in it .,how many animals does he have in total ?
516,white t - shirts can be purchased in packages of number0 . if mom buys number1 white t - shirts how many packages will she have ?,13 39,/ number1 number0,3.0,"[0, 2, 4, 8, 9, 13, 14, 15, 17, 21, 22, 23]",Common-Division,23,white t - shirts can be purchased in packages of number0 . if mom buys number1 white t - shirts,how many packages will she have ?
517,white t - shirts can be purchased in packages . if mom buys number0 white t - shirts where each package has number1 white t - shirts . how many packages will she have ?,66 3,/ number0 number1,22.0,"[0, 2, 4, 10, 11, 12, 13, 15, 17, 19, 20, 21, 23, 28, 29, 30]",Common-Division,"23, 31",white t - shirts can be purchased in packages . if mom buys number0 white t - shirts where each package has number1 white t - shirts .,how many packages will she have ?
518,white t - shirts can be purchased in packages . if mom buys number0 packages which contain number1 white t - shirts in total how many white t - shirts does each package have ?,28 56,/ number1 number0,2.0,"[0, 2, 6, 8, 11, 12, 13, 14, 15, 16, 17, 19, 21, 28, 29, 30]",Common-Division,23,white t - shirts can be purchased in packages . if mom buys number0 packages which contain number1 white t - shirts in total,how many white t - shirts does each package have ?
519,white t - shirts can be purchased in packages of number0 . if mom buys number1 packages of white t - shirts and number2 trousers how many white t - shirts will she have ?,53 57 34,* number0 number1,3021.0,"[2, 8, 9, 13, 14, 15, 20, 21, 22, 28, 29, 30]",Multiplication,33,white t - shirts can be purchased in packages of number0 . if mom buys number1 packages of white t - shirts and number2 trousers,how many white t - shirts will she have ?
520,mom buys number0 white t - shirts . if white t - shirts can be purchased in packages of number1 how many packages will she have ?,51 3,/ number0 number1,17.0,"[1, 2, 3, 5, 16, 17, 18, 21, 22, 23]",Common-Division,"23, 32",mom buys number0 white t - shirts . if white t - shirts can be purchased in packages of number1,how many packages will she have ?
521,mom buys number0 white t - shirts in total . if white t - shirts can be purchased in packages and mom buys number1 packages how many white t - shirts does each package have ?,70 14,/ number0 number1,5.0,"[1, 2, 3, 5, 11, 15, 20, 21, 22, 29, 30, 31]",Common-Division,"23, 32",mom buys number0 white t - shirts in total . if white t - shirts can be purchased in packages and mom buys number1 packages,how many white t - shirts does each package have ?
522,if you had number0 bags with equal number of cookies and number1 cookies in total how many cookies does each bag have ?,4 36,/ number1 number0,9.0,"[2, 3, 4, 10, 11, 12, 16, 19, 20, 21]",Common-Division,23,if you had number0 bags with equal number of cookies and number1 cookies in total,how many cookies does each bag have ?
523,if you had number0 cookies and each bag has number1 cookies how many bags of cookies do you have ?,33 11,/ number0 number1,3.0,"[2, 3, 4, 6, 8, 9, 10, 16, 17, 18]",Common-Division,23,if you had number0 cookies and each bag has number1 cookies,how many bags of cookies do you have ?
524,if each bag has number0 cookies and you had number1 bags of cookies how many cookies would you have ?,41 53,* number1 number0,2173.0,"[1, 3, 4, 5, 8, 9, 10, 14, 16, 17, 18]",Multiplication,32,if each bag has number0 cookies and you had number1 bags of cookies,how many cookies would you have ?
525,if you have number0 cookies in total and number1 bags having equal number of cookies how many cookies does each bag have ?,14 7,/ number0 number1,2.0,"[2, 3, 4, 7, 8, 9, 16, 19, 20, 21]",Common-Division,"23, 32",if you have number0 cookies in total and number1 bags having equal number of cookies,how many cookies does each bag have ?
526,if each bag has number0 cookies and you had number1 cookies in total how many bags of cookies do you have ?,3 21,/ number1 number0,7.0,"[1, 3, 4, 5, 8, 9, 10, 18, 19, 20]",Common-Division,"23, 32",if each bag has number0 cookies and you had number1 cookies in total,how many bags of cookies do you have ?
527,you had number0 bags with equal number of cookies . if you had number1 candies and number2 cookies in total how many bags of cookies do you have ?,26 15 52,/ number2 number0,2.0,"[1, 2, 3, 11, 12, 13, 14, 15, 16, 17, 25, 26, 27]",Common-Division,"23, 33",you had number0 bags with equal number of cookies . if you had number1 candies and number2 cookies in total,how many bags of cookies do you have ?
528,you had number0 bags with equal number of cookies . if you had number1 cookies and number2 candies in total how many bags of cookies do you have ?,14 28 86,/ number1 number0,2.0,"[1, 2, 3, 11, 12, 13, 14, 15, 16, 17, 25, 26, 27]",Common-Division,"23, 33",you had number0 bags with equal number of cookies . if you had number1 cookies and number2 candies in total,how many bags of cookies do you have ?
529,a mailman has to give number0 pieces of junk mail to each block . if he gives number1 mails to each house in a block how many houses are there in a block ?,5 25,/ number1 number0,5.0,"[32, 2, 4, 5, 6, 11, 16, 17, 18, 20, 30, 31]",Common-Division,22,a mailman has to give number0 pieces of junk mail to each block . if he gives number1 mails to each house in a block,how many houses are there in a block ?
530,a mailman has to give number0 pieces of junk mail to each house in each block . if there are number1 houses on a block how many pieces of junk mail should he give in each block ?,9 20,* number0 number1,180.0,"[2, 35, 4, 5, 6, 34, 36, 9, 11, 14, 19, 20, 21]",Multiplication,23,a mailman has to give number0 pieces of junk mail to each house in each block . if there are number1 houses on a block,how many pieces of junk mail should he give in each block ?
531,there are number0 houses on a block . if a mailman has to give number1 pieces of junk mail to each block how many pieces of junk mail should he give in each house ?,6 24,/ number1 number0,4.0,"[32, 1, 2, 3, 33, 5, 13, 14, 15, 20, 22, 31]",Common-Division,32,there are number0 houses on a block . if a mailman has to give number1 pieces of junk mail to each block,how many pieces of junk mail should he give in each house ?
532,a mailman gives number0 junk mails to each house in a block . if the mailman has to give number1 pieces of junk mail to each block . how many houses are there in a block ?,14 2,/ number0 number1,7.0,"[33, 2, 3, 4, 5, 34, 7, 35, 18, 19, 20, 25]",Common-Division,"22, 32",a mailman gives number0 junk mails to each house in a block . if the mailman has to give number1 pieces of junk mail to each block .,how many houses are there in a block ?
533,there are number0 houses in a block . if a mailman has to give number1 pieces of junk mail to each house in each block how many pieces of junk mail should he give each block ?,20 32,* number1 number0,640.0,"[1, 2, 3, 34, 5, 33, 35, 13, 14, 15, 18, 20, 23, 25]",Multiplication,"23, 32",there are number0 houses in a block . if a mailman has to give number1 pieces of junk mail to each house in each block,how many pieces of junk mail should he give each block ?
534,a mailman has to give number0 pieces of junk mail to each of the number1 blocks . if there are number2 houses on a block how many pieces of junk mail should he give each house ?,30 78 19,* number0 number2,570.0,"[33, 34, 2, 4, 5, 6, 35, 9, 11, 13, 14, 15, 19, 20, 21]",Multiplication,33,a mailman has to give number0 pieces of junk mail to each of the number1 blocks . if there are number2 houses on a block,how many pieces of junk mail should he give each house ?
535,a mailman has to give number0 pieces of junk mail to each of the number1 blocks . if he gives number2 mails to each house in a block how many houses are there in a block ?,8 55 32,/ number2 number0,4.0,"[33, 2, 34, 4, 5, 6, 35, 11, 13, 14, 15, 19, 20, 21, 23]",Common-Division,"22, 33",a mailman has to give number0 pieces of junk mail to each of the number1 blocks . if he gives number2 mails to each house in a block,how many houses are there in a block ?
536,a mailman has to give number0 pieces of junk mail to each house in each of the number1 blocks . if there are number2 houses in each block how many pieces of junk mail should he give in each block ?,4 81 12,* number0 number2,48.0,"[2, 4, 5, 6, 38, 37, 9, 39, 11, 14, 16, 17, 18, 22, 23, 24, 26]",Multiplication,"23, 33",a mailman has to give number0 pieces of junk mail to each house in each of the number1 blocks . if there are number2 houses in each block,how many pieces of junk mail should he give in each block ?
537,a mailman has to give number0 pieces of junk mail to each house in each of the number1 blocks . if there are number2 houses in each block how many pieces of junk mail should he give in total ?,4 16 17,* * number0 number2 number1,1088.0,"[2, 4, 5, 6, 36, 37, 9, 38, 11, 14, 16, 17, 18, 22, 23, 24, 26]",Multiplication,"23, 21",a mailman has to give number0 pieces of junk mail to each house in each of the number1 blocks . if there are number2 houses in each block,how many pieces of junk mail should he give in total ?
538,rebecca wants to split a collection of marbles into groups of number0 . rebecca has number1 eggs and number2 marbles . how many groups will be created ?,4 10 20,/ number2 number0,5.0,"[1, 10, 11, 14, 15, 16, 17, 18, 19, 24, 25, 26]",Common-Division,22,rebecca wants to split a collection of marbles into groups of number0 . rebecca has number1 eggs and number2 marbles .,how many groups will be created ?
539,rebecca wants to split a collection of eggs into groups of number0 . rebecca has number1 marbles and number2 eggs . how many groups will be created ?,5 10 15,/ number2 number0,3.0,"[10, 11, 14, 15, 16, 17, 18, 19, 24, 25, 26]",Common-Division,31,rebecca wants to split a collection of eggs into groups of number0 . rebecca has number1 marbles and number2 eggs .,how many groups will be created ?
540,rebecca wants to split a collection of eggs into groups of number0 . if each group has number1 eggs how many eggs does rebecca have ?,11 2,* number0 number1,22.0,"[3, 7, 10, 11, 14, 16, 17, 18, 22, 23, 24]",Multiplication,23,rebecca wants to split a collection of eggs into groups of number0 . if each group has number1 eggs,how many eggs does rebecca have ?
541,rebecca wants to split a collection of eggs into number0 groups . rebecca has number1 eggs and number2 marbles . how many eggs will each group have ?,4 8 6,/ number1 number0,2.0,"[1, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 24, 25, 26]",Common-Division,22,rebecca wants to split a collection of eggs into number0 groups . rebecca has number1 eggs and number2 marbles .,how many eggs will each group have ?
542,rebecca wants to split a collection of eggs into number0 groups . rebecca has number1 marbles and number2 eggs . how many eggs will each group have ?,3 4 15,/ number2 number0,5.0,"[1, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 24, 25, 26]",Common-Division,"22, 31",rebecca wants to split a collection of eggs into number0 groups . rebecca has number1 marbles and number2 eggs .,how many eggs will each group have ?
543,rebecca wants to split a collection of eggs into groups of number0 . rebecca has number1 eggs number2 bananas and number3 marbles . how many groups will be created ?,6 18 72 66,/ number1 number0,3.0,"[1, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 26, 27, 28]",Common-Division,33,rebecca wants to split a collection of eggs into groups of number0 . rebecca has number1 eggs number2 bananas and number3 marbles .,how many groups will be created ?
544,rebecca wants to split a collection of eggs into groups of number0 . rebecca has number1 bananas number2 eggs and number3 marbles . how many groups will be created ?,3 99 9 27,/ number2 number0,3.0,"[1, 10, 11, 14, 15, 16, 17, 18, 19, 20, 21, 26, 27, 28]",Common-Division,"33, 31",rebecca wants to split a collection of eggs into groups of number0 . rebecca has number1 bananas number2 eggs and number3 marbles .,how many groups will be created ?
545,rebecca wants to split a collection of eggs into groups of number0 . rebecca has number1 eggs and number2 marbles . how many more eggs does rebecca have than marbles ?,5 20 6,- number1 number2,14.0,"[1, 2, 6, 10, 11, 14, 15, 16, 17, 18, 19, 27, 28, 29]",Subtraction,13,rebecca wants to split a collection of eggs into groups of number0 . rebecca has number1 eggs and number2 marbles .,how many more eggs does rebecca have than marbles ?
546,rebecca wants to split a collection of eggs into groups of number0 . rebecca has number1 marbles and number2 eggs . how many more eggs does rebecca have than marbles ?,20 5 12,- number2 number1,7.0,"[1, 2, 6, 10, 11, 14, 15, 16, 17, 18, 19, 27, 28, 29]",Subtraction,"13, 31",rebecca wants to split a collection of eggs into groups of number0 . rebecca has number1 marbles and number2 eggs .,how many more eggs does rebecca have than marbles ?
547,luke played a trivia game and scored number0 points . if he gained the number1 points in each round how many rounds did he play ?,154 11,/ number0 number1,14.0,"[2, 6, 7, 8, 13, 14, 15, 17, 22, 23, 24]",Common-Division,22,luke played a trivia game and scored number0 points . if he gained the number1 points in each round,how many rounds did he play ?
548,luke played number0 rounds of a trivia game . if he gained number1 points in each round how many points did he score in the game ?,177 46,* number0 number1,8142.0,"[1, 2, 3, 9, 11, 12, 13, 15, 23, 24, 25]",Multiplication,23,luke played number0 rounds of a trivia game . if he gained number1 points in each round,how many points did he score in the game ?
549,luke scored number0 points after playing number1 rounds of a trivia game and . if he gained the same number of points each round how many points did he score per round ?,84 2,/ number0 number1,42.0,"[1, 2, 3, 5, 6, 7, 11, 15, 22, 29, 30, 31]",Common-Division,32,luke scored number0 points after playing number1 rounds of a trivia game and . if he gained the same number of points each round,how many points did he score per round ?
550,luke gained number0 points in each round of a game . if he played number1 rounds of a trivia game how many points did he score in the game ?,146 157,* number1 number0,22922.0,"[1, 2, 3, 5, 10, 13, 14, 15, 26, 27, 28]",Multiplication,"23, 32",luke gained number0 points in each round of a game . if he played number1 rounds of a trivia game,how many points did he score in the game ?
551,luke played a trivia game and gained number0 points in each round of a game . if he scored number1 points in the trivia game how many rounds did he play ?,3 78,/ number1 number0,26.0,"[2, 6, 7, 8, 10, 18, 19, 20, 28, 29, 30]",Common-Division,"22, 32",luke played a trivia game and gained number0 points in each round of a game . if he scored number1 points in the trivia game,how many rounds did he play ?
552,emily is making bead necklaces for her friends . she had number0 beads and she was able to make number1 necklaces . how many beads did each necklace need ?,2 32,/ number1 number0,16.0,"[1, 2, 3, 9, 10, 11, 12, 18, 19, 20, 26, 27, 28]",Common-Division,22,emily is making bead necklaces for her friends . she had number0 beads and she was able to make number1 necklaces .,how many beads did each necklace need ?
553,emily is making bead necklaces for her friends . she made number0 necklaces and each necklace takes number1 beads . how many beads did emily have ?,11 28,* number0 number1,308.0,"[1, 2, 5, 7, 10, 11, 12, 14, 16, 17, 18, 23, 24, 25]",Multiplication,23,emily is making bead necklaces for her friends . she made number0 necklaces and each necklace takes number1 beads .,how many beads did emily have ?
554,emily is making bead necklaces for her friends . each necklace takes number0 beads and she has number1 beads . how many necklaces can emily make ?,8 16,/ number1 number0,2.0,"[2, 7, 9, 11, 12, 13, 16, 17, 18, 23, 24, 25]",Common-Division,32,emily is making bead necklaces for her friends . each necklace takes number0 beads and she has number1 beads .,how many necklaces can emily make ?
555,emily is making bead necklaces for her friends . she was able to make number0 necklaces and she had number1 beads . how many beads did each necklace need ?,18 6,/ number0 number1,3.0,"[1, 2, 3, 4, 9, 13, 14, 15, 18, 19, 20, 26, 27, 28]",Common-Division,"22, 32",emily is making bead necklaces for her friends . she was able to make number0 necklaces and she had number1 beads .,how many beads did each necklace need ?
556,emily is making bead necklaces for her friends where each necklace takes number0 beads . she made number1 necklaces . how many beads did emily have ?,5 4,* number1 number0,20.0,"[1, 2, 5, 9, 11, 12, 13, 16, 17, 18, 23, 24, 25]",Multiplication,"23, 32",emily is making bead necklaces for her friends where each necklace takes number0 beads . she made number1 necklaces .,how many beads did emily have ?
557,emily is making bead necklaces for her number0 friends . she has number1 beads and each necklace takes number2 beads . how many necklaces can emily make ?,72 6 3,/ number1 number2,2.0,"[1, 6, 7, 8, 11, 12, 13, 15, 17, 18, 19, 24, 25, 26]",Common-Division,33,emily is making bead necklaces for her number0 friends . she has number1 beads and each necklace takes number2 beads .,how many necklaces can emily make ?
558,emily is making bead necklaces for her number0 friends . she had number1 beads and she was able to make number2 necklaces . how many beads did each necklace need ?,43 5 20,/ number2 number1,4.0,"[1, 2, 3, 6, 7, 8, 9, 11, 12, 13, 19, 20, 21, 27, 28, 29]",Common-Division,"22, 33",emily is making bead necklaces for her number0 friends . she had number1 beads and she was able to make number2 necklaces .,how many beads did each necklace need ?
559,emily is making bead necklaces for her number0 friends . she made number1 necklaces and each necklace takes number2 beads . how many beads did emily have ?,44 26 2,* number1 number2,52.0,"[1, 2, 5, 6, 7, 8, 11, 12, 13, 15, 17, 18, 19, 24, 25, 26]",Multiplication,"23, 33",emily is making bead necklaces for her number0 friends . she made number1 necklaces and each necklace takes number2 beads .,how many beads did emily have ?
560,during summer break number0 kids from lawrence county go to camp and the other number1 kids stay home . how many more kids spent their summer break at the camp compared to those who stayed home ?,819058 668278,- number0 number1,150780.0,"[1, 2, 3, 4, 33, 34, 35, 8, 13, 14, 15, 16]",Subtraction,11,during summer break number0 kids from lawrence county go to camp and the other number1 kids stay home .,how many more kids spent their summer break at the camp compared to those who stayed home ?
561,during summer break number0 kids from lawrence county go to camp and the other number1 kids stay home . how many more kids stayed home compared to those who went to the camp ?,202958 777622,- number1 number0,574664.0,"[32, 1, 2, 3, 4, 8, 13, 14, 15, 16, 30, 31]",Subtraction,11,during summer break number0 kids from lawrence county go to camp and the other number1 kids stay home .,how many more kids stayed home compared to those who went to the camp ?
562,lawrence county has number0 kids . during summer break number1 kids go to camp and the rest stay home . how many kids stay home ?,898051 629424,- number0 number1,268627.0,"[1, 2, 3, 4, 8, 9, 10, 11, 22, 23, 24]",Subtraction,23,lawrence county has number0 kids . during summer break number1 kids go to camp and the rest stay home .,how many kids stay home ?
563,lawrence county has number0 kids . during summer break number1 kids stay home and the rest go to camp . how many kids go to the camp during the break ?,313473 274865,- number0 number1,38608.0,"[1, 2, 3, 4, 8, 9, 10, 11, 27, 28, 29]",Subtraction,23,lawrence county has number0 kids . during summer break number1 kids stay home and the rest go to camp .,how many kids go to the camp during the break ?
564,during summer break number0 kids from lawrence county stay home and the other number1 kids go to camp . about how many kids are in lawrence county ?,907611 455682,+ number1 number0,1363293.0,"[2, 3, 4, 7, 8, 12, 13, 14, 15, 24, 25, 26]",Addition,31,during summer break number0 kids from lawrence county stay home and the other number1 kids go to camp .,about how many kids are in lawrence county ?
565,during summer break number0 kids from lawrence county go to camp and the rest stay home . lawrence county has number1 kids in all . about how many kids stayed home ?,800059 828521,- number1 number0,28462.0,"[2, 3, 4, 8, 19, 20, 21, 28, 29, 30]",Subtraction,"23, 32",during summer break number0 kids from lawrence county go to camp and the rest stay home . lawrence county has number1 kids in all .,about how many kids stayed home ?
566,during summer break number0 kids from lawrence county stayed home and the rest went to camp . the total number of kids in larence county is number1 . about how many kids in lawrence county went to camp ?,61619 91676,- number1 number0,30057.0,"[2, 3, 4, 35, 36, 7, 8, 37, 25, 26]",Subtraction,"23, 32",during summer break number0 kids from lawrence county stayed home and the rest went to camp . the total number of kids in larence county is number1 .,about how many kids in lawrence county went to camp ?
567,during summer break number0 kids from lawrence county go to camp and the other number1 kids stay home . an additional number2 kids from outside the county attended the camp . how many kids in total attended the camp ?,34044 134867 424944,+ number0 number2,458988.0,"[1, 2, 3, 4, 5, 36, 37, 8, 38, 13, 14, 15, 16, 20, 21, 22]",Addition,"33, 11",during summer break number0 kids from lawrence county go to camp and the other number1 kids stay home . an additional number2 kids from outside the county attended the camp .,how many kids in total attended the camp ?
568,during summer break number0 kids from lawrence county go to camp and the other number1 kids stay home . an additional number2 kids from outside the county attended the camp . about how many kids are in lawrence county ?,610769 590796 22,+ number0 number1,1201565.0,"[1, 2, 3, 4, 36, 37, 7, 8, 38, 13, 14, 15, 16, 20, 21, 22]",Addition,33,during summer break number0 kids from lawrence county go to camp and the other number1 kids stay home . an additional number2 kids from outside the county attended the camp .,about how many kids are in lawrence county ?
569,during summer break number0 kids from lawrence county stayed home and the other number1 kids went to camp . an additional number2 kids from outside the county attended the camp . how many kids are in lawrence county ?,644997 893835 78,+ number1 number0,1538832.0,"[1, 2, 3, 4, 35, 6, 36, 8, 37, 12, 13, 14, 15, 20, 21, 22]",Addition,"33, 32",during summer break number0 kids from lawrence county stayed home and the other number1 kids went to camp . an additional number2 kids from outside the county attended the camp .,how many kids are in lawrence county ?
570,adam has number0 more apples than jackie . adam has number1 apples . how many apples does jackie have ?,3 9,- number1 number0,6.0,"[1, 2, 3, 4, 5, 9, 10, 11, 16, 17, 18]",Subtraction,"22, 11",adam has number0 more apples than jackie . adam has number1 apples .,how many apples does jackie have ?
571,adam has number0 apples . jackie has number1 apples . how many more apples does adam have than jackie ?,10 2,- number0 number1,8.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Subtraction,23,adam has number0 apples . jackie has number1 apples .,how many more apples does adam have than jackie ?
572,adam has number0 apples . jackie has number1 apples . how many more apples does jackie have than adam ?,9 10,- number1 number0,1.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Subtraction,"23, 11",adam has number0 apples . jackie has number1 apples .,how many more apples does jackie have than adam ?
573,jackie has number0 apples . adam has number1 apples . how many more apples does jackie have than adam ?,10 8,- number0 number1,2.0,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Subtraction,"23, 11, 31",jackie has number0 apples . adam has number1 apples .,how many more apples does jackie have than adam ?
574,together adam and jackie have number0 apples . has number1 apples more than adam and jackie together do . how many apples does have ?,6 4,+ number0 number1,10.0,"[0, 1, 4, 5, 6, 8, 9, 10, 21, 22, 23]",Addition,"22, 11",together adam and jackie have number0 apples . has number1 apples more than adam and jackie together do .,how many apples does have ?
575,has number0 apples more than adam and jackie together do . adam and jackie have number1 apples between them . how many apples does have ?,9 7,+ number1 number0,16.0,"[0, 1, 2, 3, 4, 14, 15, 16, 22, 23, 24]",Addition,"22, 11, 31",has number0 apples more than adam and jackie together do . adam and jackie have number1 apples between them .,how many apples does have ?
576,together adam and jackie have number0 apples . has number1 apples more than adam and jackie together do . adam has number2 more apples than jackie . how many apples does have ?,12 9 8,+ number0 number1,21.0,"[1, 3, 4, 5, 6, 8, 9, 10, 20, 21, 22, 23, 29, 30, 31]",Addition,"22, 11, 31, 33",together adam and jackie have number0 apples . has number1 apples more than adam and jackie together do . adam has number2 more apples than jackie .,how many apples does have ?
